"TTWA","Total pop (18 - 64, 2011)","RCI (2001)","RCI (2011)","Change in RCI","RAE (2001)","RAE (2011)","Change in RAE","Geo. (2001)","Geo. (2011)","Change in Geo.","Poverty indicator"
"London",7407046,0.116,0.058,-0.058,0.175,0.089,-0.086,0.18,0.109,-0.072,"jsa"
"Manchester",2404272,0.141,0.096,-0.045,0.131,0.074,-0.057,0.15,0.123,-0.027,"jsa"
"Birmingham",1570646.99,0.078,0.014,-0.065,0.183,0.088,-0.095,0.205,0.171,-0.034,"jsa"
"Slough and Heathrow",1474801,0.019,-0.011,-0.03,0.042,0.019,-0.023,0.084,0.062,-0.022,"jsa"
"Newcastle",956339,0.152,0.118,-0.034,0.095,0.054,-0.041,0.125,0.104,-0.021,"jsa"
"Liverpool",898780,0.117,0.095,-0.023,0.079,0.049,-0.03,0.116,0.096,-0.02,"jsa"
"Leicester",855917,0.294,0.24,-0.054,0.11,0.077,-0.033,0.268,0.215,-0.053,"jsa"
"Sheffield",770801,0.178,0.125,-0.053,0.114,0.026,-0.087,0.133,0.093,-0.04,"jsa"
"Bristol",743279,0.285,0.213,-0.072,0.154,0.059,-0.095,0.205,0.172,-0.033,"jsa"
"Nottingham",734792,0.183,0.121,-0.062,0.098,0.025,-0.073,0.189,0.163,-0.027,"jsa"
"Warrington and Wigan",734666,0.171,0.178,0.007,0.033,0.041,0.008,0.109,0.157,0.047,"jsa"
"Leeds",722434,0.297,0.257,-0.04,0.143,0.118,-0.025,0.227,0.193,-0.034,"jsa"
"Cardiff",704395,0.016,0.002,-0.014,-0.02,-0.052,-0.032,NA,NA,NA,"jsa"
"Wolverhampton and Walsall",690847,0.226,0.212,-0.013,0.132,0.096,-0.036,0.189,0.155,-0.034,"jsa"
"Luton",653019,0.176,0.125,-0.051,0.082,0.029,-0.052,0.16,0.128,-0.032,"jsa"
"Cambridge",634473,0.148,0.095,-0.053,-0.026,-0.046,-0.02,0.138,0.132,-0.006,"jsa"
"Southampton",617103,0.249,0.229,-0.02,0.092,0.03,-0.061,0.251,0.245,-0.006,"jsa"
"Guildford and Aldershot",588391,0.084,0.162,0.078,0.046,0.02,-0.026,0.11,0.173,0.062,"jsa"
"Crawley",558087,0.126,0.165,0.039,-0.011,-0.015,-0.003,0.095,0.144,0.049,"jsa"
"Medway",554660,0.083,0.119,0.036,0.078,0.029,-0.049,0.19,0.214,0.024,"jsa"
