"lsoa01","access01","access11","access01_exp","access11_exp"
"E01000001",2791670,3409163.22,262451.425733244,306143.934333291
"E01000002",2789133,3405182.22,245904.689185985,289925.718790454
"E01000003",2791075,3408650.34,229404.741316806,268724.519743904
"E01000004",2817127,3436024,359000.256634093,409895.540131367
"E01000005",2784572,3397919,140565.523189454,166720.084545881
"E01000006",1606242,1986150,11597.6816293269,13903.6728879861
"E01000007",1774261,2179942.28,14005.5741095934,16912.2608601009
"E01000008",1989464,2434510,13514.892095505,16828.0104843949
"E01000009",1647905,2036752,12606.9275037078,15107.3324242909
"E01000010",1709739,2104122,14104.4081130986,17070.0685098957
"E01000011",1693377,2085404,12915.9283881597,15461.8417460346
"E01000012",1795122,2205429,13524.1737986672,16473.63326808
"E01000013",751157,963474,8279.77046032097,9333.72335271071
"E01000014",766992,983929,7876.59248087103,9088.37163890961
"E01000015",724823,930564,8333.01572561498,9279.15741728541
"E01000016",723947,930400,8263.96639320802,9523.89814569773
"E01000017",735669,945254,8079.34704048132,9520.84019572117
"E01000018",727466,935005,8269.53807748683,9377.56596676707
"E01000019",867021,1107643,8052.10061689656,9941.93721935717
"E01000020",873824,1111304.82,7776.97624776892,9644.93467258821
"E01000021",951752,1229511,7969.68610118001,9674.26463430783
"E01000022",897235,1156096,7670.48175757496,9428.00014406721
"E01000023",1001752,1298552.68,8207.86541062811,9671.60133424004
"E01000024",932133,1200574,7511.31457553819,9190.07508789325
"E01000025",963177,1245129.44,7537.5509877697,9172.10094398135
"E01000026",858311,1096364,8319.19658950187,10304.6335985735
"E01000027",650306,848337,4469.2014585904,5220.79187007054
"E01000028",681973,888294,4865.68223599976,5753.04617483935
"E01000029",674375,877842,6151.90063273591,7207.90773022321
"E01000030",657129,857857,5312.28395304542,6264.31756984659
"E01000031",683013,881792.32,7287.75299787077,8494.01006283294
"E01000032",698664,904138,7600.83887552038,8862.9692551988
"E01000033",674693,868741,8000.70302627527,9663.96219166426
