"fua","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_exp","work11","work11_exp","workdiff","workdiff_exp","geo04","geo10","geodiff","type"
"London",11553532,56,0.181462597658992,0.111114756206007,-0.0703478414529854,0.24035898840657,0.136046109202198,-0.104312879204372,0.282436326692732,0.29109098840172,0.156490347735144,0.177205949111794,-0.125945978957589,-0.113885039289926,0.242907319794085,0.156238426372965,-0.0866688934211197,"jsa"
"Greater Manchester",3211529,17,0.151936231426475,0.11977653646386,-0.0321596949626155,0.178683319511947,0.102403781284806,-0.0762795382271406,0.170353591058301,0.240187391393874,0.0983356427977924,0.161116559153584,-0.072017948260509,-0.0790708322402907,0.164359752082419,0.143508091123635,-0.0208516609587832,"jsa"
"West Midlands urban area",2958186.7,16,0.122507728800997,0.0828074942946841,-0.0397002345063129,0.18825853521389,0.142462489777358,-0.045796045436532,0.188127902537758,0.25076546130424,0.156001574455559,0.216309025852638,-0.0321263280821995,-0.0344564354516024,0.187054296901465,0.157234563764064,-0.0298197331374013,"jsa"
"Leeds",2522785,13,0.202644722476748,0.175299735838166,-0.0273449866385818,0.108125776913766,0.114487345018119,0.00636156810435295,0.132921430135411,0.260338119574044,0.134066348080069,0.230246684612325,0.00114491794465721,-0.0300914349617187,0.213325846949715,0.176017656521026,-0.0373081904286892,"jsa"
"Liverpool",1491874,11,0.115644295301422,0.0963295374942277,-0.0193147578071944,0.19357385773128,0.168771833399376,-0.0248020243319047,0.137861273811041,0.226382645088677,0.124670026123397,0.214600200084078,-0.0131912476876437,-0.0117824450045987,0.124565404811051,0.108450414082483,-0.0161149907285676,"jsa"
"Tyneside conurbation",1145347,7,0.133245822224808,0.116622371776657,-0.0166234504481508,0.080945784032167,0.0752481624392658,-0.00569762159290121,0.123184860830122,0.143515956589681,0.136762945732642,0.126212927463712,0.0135780849025195,-0.0173030291259693,0.138435507270117,0.139285704271231,0.000850197001113884,"jsa"
"Sheffield",1140222,6,0.13011084894481,0.10246790120118,-0.0276429477436295,0.0919604952711381,0.0338977560468834,-0.0580627392242548,0.0502995893291995,0.145041843902334,0.074271040514077,0.101873376978347,0.0239714511848774,-0.0431684669239871,0.129534662286687,0.107771747534684,-0.0217629147520029,"jsa"
"Bristol",893567,3,0.286102526591407,0.208972065018685,-0.0771304615727217,0.260467618045539,0.166155456316176,-0.0943121617293627,0.0858377546369411,0.285558586421786,0.102551028032906,0.191302586386087,0.0167132733959647,-0.0942560000356991,0.216007829213481,0.181463043091725,-0.0345447861217565,"jsa"
"Cardiff",885642,3,0.00114716337262166,-0.00634446192333371,-0.00749162529595537,-0.00321096139251154,-0.00974867577926375,-0.00653771438675221,-0.04475302241093,0.00274866177082345,-0.0482366743469527,-0.000369848816745844,-0.00348365193602262,-0.00311851058756929,NA,NA,NA,"jsa"
"Greater Nottingham",871417,4,0.173940213408713,0.121045087603022,-0.0528951258056907,0.142067916280041,0.12860862997411,-0.0134592863059311,-0.00402147993474955,0.198982440005494,0.0610814723573583,0.161996618960615,0.0651029522921078,-0.0369858210448797,0.180146240923847,0.161955114970567,-0.0181911259532797,"jsa"
"Leicester",836484,5,0.291445970482044,0.245323387185039,-0.0461225832970058,0.273768385048129,0.258485663873017,-0.0152827211751116,0.097913615510322,0.309470891024262,0.123817728457567,0.272570213574141,0.025904112947245,-0.0369006774501202,0.26366752881205,0.215571803882597,-0.0480957249294534,"jsa"
"Coventry",679935,4,0.131397037308062,0.135816373397773,0.00441933608971112,0.159311503167004,0.163392454650079,0.00408095148307552,0.0530217843316905,0.207650702506584,0.084991797467552,0.164685301629362,0.0319700131358616,-0.0429654008772218,0.139864813361299,0.160816206466876,0.0209513931055767,"jsa"
"Southampton",654941,4,0.214386302874573,0.201161561544893,-0.0132247413296795,0.268795280384268,0.227017058426924,-0.0417782219573439,0.0982212745755362,0.260438283809947,0.134858248251163,0.233044648648502,0.0366369736756269,-0.0273936351614452,0.226410211870729,0.222546185737002,-0.00386402613372638,"jsa"
"Kingston upon Hull",590585,5,0.211055649059659,0.270617660341088,0.0595620112814288,0.214476533500118,0.271336685714971,0.0568601522148526,0.179299372439175,0.250243056595565,0.24595780772114,0.278170903771979,0.0666584352819655,0.0279278471764144,0.216471651923513,0.207886097564256,-0.00858555435925723,"jsa"
"Middlesbrough",557227,3,0.165129037828137,0.181524928148974,0.0163958903208368,0.134024079095695,0.126427862680714,-0.00759621641498143,0.0791611731406903,0.198139097513945,0.0754385340422203,0.215644335866699,-0.00372263909846993,0.0175052383527543,0.163863737209567,0.22569165655139,0.0618279193418232,"jsa"
"Oxford",519541,5,0.208100905948456,0.0590122092650489,-0.149088696683407,0.20625165494657,0.0640109969221214,-0.142240658024448,0.189555997790436,0.2334606770291,0.114019964181054,0.179229632693207,-0.0755360336093815,-0.0542310443358929,0.220611321759066,0.15984946452501,-0.0607618572340556,"jsa"
"Portsmouth",518462,3,0.139516496007062,0.140181044677206,0.000664548670144427,0.174096879812581,0.15648968949138,-0.0176071903212005,-0.134205525810557,0.178221183968688,-0.0815396214022002,0.161386693778638,0.0526659044083573,-0.0168344901900497,0.176685473224921,0.14368469665672,-0.0330007765682012,"jsa"
"Bournemouth",509286,2,0.203628209013516,0.199359455871942,-0.00426875314157371,0.250908238675123,0.222881974419067,-0.0280262642560558,0.140493473561975,0.242663564004474,0.13090728506161,0.221668102015386,-0.0095861885003643,-0.020995461989088,0.207511230169558,0.189370388014041,-0.0181408421555176,"jsa"
"Cheshire West and Chester",482114,8,0.0323878429338436,0.0794071998658836,0.0470193569320401,-0.0135488600453613,-0.00918892487268863,0.00435993517267264,0.0392620118895906,0.13520135991169,0.0408645444097999,0.164985196679751,0.00160253252020937,0.0297838367680612,NA,NA,NA,"jsa"
"Stoke-on-Trent",469985,3,0.135454554360109,0.179847666244669,0.0443931118845597,0.159469895562694,0.206024927921732,0.0465550323590378,0.0457434670775854,0.164051607303108,0.114342292327322,0.204105202551759,0.0685988252497367,0.0400535952486507,0.175860176950209,0.175061226102258,-0.000798950847951119,"jsa"
"Derby",465672,5,0.231965778703142,0.180057541804473,-0.0519082368986687,0.232124709549069,0.182129744649686,-0.0499949648993834,0.0884989725791314,0.321819356478983,0.0919305278999047,0.276099590503421,0.00343155532077333,-0.0457197659755622,0.26667639440717,0.227943360923462,-0.0387330334837088,"jsa"
"Exeter",452200,3,0.145365096482251,0.153394508353003,0.00802941187075135,0.115066722839614,0.130195259114544,0.0151285362749292,0.0803895231375833,0.173996894914936,0.0874644481883564,0.231603883301545,0.00707492505077312,0.0576069883866097,0.180076798570994,0.224126432547379,0.0440496339763854,"jsa"
"Northampton",450457,4,0.176957213671372,0.138568471268485,-0.038388742402887,0.187440817117704,0.160058936176014,-0.0273818809416895,0.0862227490485736,0.275371988727585,0.110133689472562,0.259326221639398,0.0239109404239883,-0.0160457670881868,0.243117847613945,0.213177776169985,-0.0299400714439599,"jsa"
"Brighton and Hove",432053,3,0.340486154044001,0.157552174614167,-0.182933979429833,0.356252184649293,0.161021965034436,-0.195230219614857,0.0064741769273553,0.345929661648299,0.0222081006778438,0.160892940036589,0.0157339237504885,-0.185036721611709,0.289504129600857,0.134349168608594,-0.155154960992263,"jsa"
"Plymouth",391205,3,0.26986253426729,0.282628012180311,0.0127654779130211,0.258256848500181,0.28466305204843,0.0264062035482482,0.0130418135264705,0.272128141064726,0.0494993510962303,0.289282619146405,0.0364575375697598,0.0171544780816788,0.226207398263952,0.278759769141161,0.0525523708772084,"jsa"
"Norwich",381170,2,0.279871511222055,0.25873789432444,-0.0211336168976146,0.277663963903379,0.258452511598023,-0.0192114523053561,0.166018031794948,0.286824085387096,0.191791814702128,0.278176484401499,0.02577378290718,-0.00864760098559714,0.222754879459913,0.219358910950575,-0.00339596850933788,"jsa"
"Swansea",378958.18,1,0.0909085681357169,0.0653981410360274,-0.0255104270996895,0.0909085681357169,0.0653981410360274,-0.0255104270996895,0.0614103006004143,0.10633560241925,0.0790903574551152,0.108797076672914,0.0176800568547009,0.00246147425366416,NA,NA,NA,"jsa"
"Cambridge",356440,3,0.0928523417466636,0.00626362497816046,-0.0865887167685031,0.0941720877361263,0.00675642206898885,-0.0874156656671374,-0.0243783809496563,0.140842020606712,-0.0838162618977805,0.0651218002358576,-0.0594378809481242,-0.0757202203708545,0.156169547695143,0.0859889844466011,-0.0701805632485417,"jsa"
"Ipswich",345422,3,0.224796703981596,0.257442642484335,0.0326459385027391,0.224674323637657,0.255298884059471,0.0306245604218134,0.109616710406627,0.249569197268286,0.13898167516075,0.306026111895306,0.029364964754123,0.0564569146270202,0.207405846934208,0.222391013076617,0.0149851661424094,"jsa"
"Blackpool",325571,4,0.277967799722461,0.334013046265383,0.0560452465429222,0.28926149413364,0.341125944313262,0.0518644501796217,-0.124076133860868,0.296003335984565,-0.0763100745377869,0.343700650657937,0.0477660593230809,0.0476973146733712,0.284324803632984,0.278635426767465,-0.00568937686551862,"jsa"
"Colchester",311122,2,-0.0650107318452697,-0.0468366647509413,0.0181740670943284,-0.0881451882276707,-0.045496108635767,0.0426490795919037,-0.134817600661577,0.0929164817480768,-0.173185329030161,0.123332078956224,-0.0383677283685842,0.0304155972081475,0.148035204545536,0.155368469467589,0.00733326492205322,"jsa"
"Reading",310078,3,0.309949458966656,0.250212527462025,-0.0597369315046308,0.310507805302819,0.244385001567537,-0.0661228037352828,-0.217799571893622,0.340783790560579,-0.215244753018062,0.261534921179688,0.00255481887555931,-0.0792488693808906,0.279092735935762,0.220061849087813,-0.0590308868479497,"jsa"
"Lincoln",290557,3,0.110189937424863,0.102165260612068,-0.00802467681279495,0.121000351186979,0.114066198836554,-0.00693415235042494,0.00922718580887505,0.220612845281849,0.0179356696164561,0.224525749406581,0.00870848380758105,0.00391290412473211,0.227880339338313,0.224690971060433,-0.00318936827788008,"jsa"
"Blackburn with Darwen",285355,4,0.262162006083145,0.185472635019011,-0.0766893710641341,0.262666014372186,0.187580114563119,-0.0750858998090678,0.136997853783924,0.297283930388119,0.0850442929526594,0.252259535207202,-0.0519535608312651,-0.0450243951809171,0.23679020780601,0.232588263897171,-0.00420194390883921,"jsa"
"Guildford",258755,6,0.118115204329335,0.142775046617501,0.0246598422881661,0.095209025100452,0.106577233254804,0.0113682081543516,0.0542988036744774,0.0973113237105423,0.0751653706867046,0.16461883616816,0.0208665670122272,0.0673075124576172,0.0765962449593829,0.145656257674013,0.0690600127146297,"jsa"
"Preston",249259,3,0.203168151552148,0.138145566337123,-0.0650225852150257,0.243479516941392,0.16928459445203,-0.0741949224893617,0.113178699120951,0.242208693392477,0.0930335860988407,0.183300953202064,-0.0201451130221102,-0.0589077401904134,0.27357410155598,0.17380164374508,-0.0997724578109001,"jsa"
"Newport",236811,1,0.112396376132644,0.0846365605599999,-0.0277598155726437,0.112396376132644,0.0846365605599999,-0.0277598155726437,0.0140780683134523,0.0881557766239993,-0.0231441526028249,0.0878622470720671,-0.0372222209162771,-0.000293529551932181,NA,NA,NA,"jsa"
"Cheltenham",197675,2,0.137914624991474,0.10195863512206,-0.0359559898694144,0.132177010287457,0.100438031159314,-0.0317389791281428,0.0385933032037329,0.154374109564777,0.0383784792646296,0.14499475243489,-0.000214823939103326,-0.00937935712988747,0.210664232768039,0.246766241840596,0.0361020090725575,"jsa"
