"","name","pweight_x","pweight_y","pop11","number_lsoa","type","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osmnm","imputed_osmm"
"1","Abertillery BUA",321742.987203589,204351.02183479,11601,8,"bua",321641.11020706,204081.320156331,"town",288.301782487044,NA,"Abertillery"
"2","Alton (East Hampshire) BUA",471852.221114838,139699.643207129,17816,11,"bua",471737.464439763,139347.663433119,"town",370.214607743223,NA,"Alton"
"3","Amesbury BUA",416334.666034145,141174.677463253,10724,6,"bua",415818.957558035,141516.312796329,"town",618.60321138622,NA,"Amesbury"
"4","Ampthill BUA",503293.29827904,235942.74470394,20409,14,"bua",503491.807410994,235059.971741691,"town",904.817096625962,NA,"Flitwick"
"5","Annfield Plain BUA",416534.899978771,552459.109818556,11069,7,"bua",416534.899978771,552459.109818556,"Origin",NA,NA,"Abertillery"
"6","Ashby-de-la-Zouch BUA",435404.791666338,316600.970461703,10488,7,"bua",435498.952299507,316436.987276151,"town",189.09444725447,NA,"Ashby de la Zouch"
"7","Ashington (Northumberland) BUA",427893.001796205,587140.321418967,27789,17,"bua",427426.528454186,587639.892533461,"town",683.497386426076,NA,"Ashington"
"8","Attleborough BUA",604697.894052065,295167.516096004,11260,6,"bua",604363.731458878,295379.787832553,"town",395.883731445334,NA,"Attleborough"
"9","Barnoldswick BUA",387803.351804988,446895.750966102,10996,8,"bua",387793.996735261,446786.851486473,"town",109.300567213063,NA,"Barnoldswick"
"10","Barnstaple BUA",255866.278409479,132906.020969224,31010,21,"bua",255796.096964817,133250.825880105,"town",351.874781339717,NA,"Barnstaple"
"11","Barrow-in-Furness BUA",320635.523019768,470075.235844712,44585,33,"bua",319755.269212371,469082.588673486,"town",1326.72347231083,NA,"Barrow-in-Furness"
"12","Barry BUA",311932.23532678,168579.237389668,54901,35,"bua",311825.075282107,168022.933181402,"town",566.531241246868,NA,"Barry"
"13","Barton-upon-Humber BUA",502972.501742531,421878.268008862,11066,6,"bua",503154.118961348,422169.63280283,"town",343.334031717143,NA,"Barton-upon-Humber"
"14","Bath BUA",374428.131009652,164756.514626691,93311,60,"bua",375063.621802739,164765.609548639,"city",635.555871425448,NA,"Bath"
"15","Beaconsfield BUA",493683.096331719,190791.981659821,13523,8,"bua",493089.152440999,190793.200478837,"town",593.945141274081,NA,"Beaconsfield"
"16","Beccles BUA",642927.631309135,289667.212518815,13096,8,"bua",642111.727803279,290459.954501976,"town",1137.60203178997,NA,"Beccles"
"17","Bedlington BUA",426281.616959876,582359.228744561,17528,12,"bua",425724.150527262,582076.076345884,"town",625.255231379367,NA,"Bedlington"
"18","Belper BUA",435637.43526122,347527.868381745,23361,14,"bua",434860.265454818,347415.384325259,"town",785.267833892718,NA,"Belper"
"19","Berwick-upon-Tweed BUA",399366.993352637,652469.681628127,11792,8,"bua",399862.968677172,652985.243323594,"town",715.398759001067,NA,"Berwick-upon-Tweed"
"20","Beverley BUA",503546.70949206,439791.793339109,30333,19,"bua",503294.329842422,439618.279016041,"town",306.272277330219,NA,"Beverley"
"21","Biddulph BUA",388523.556954525,357404.612377803,16588,10,"bua",388512.061807992,357711.692497452,"town",307.295197290175,NA,"Biddulph"
"22","Biggleswade BUA",519494.313896983,244544.814914879,16551,10,"bua",519388.224312622,244746.565843379,"town",227.943934028677,NA,"Biggleswade"
"23","Bishop's Stortford BUA",548571.767564429,220744.689395214,35901,23,"bua",549035.002794478,220994.857661969,"town",526.470360086179,NA,"Bishop's Stortford"
"24","Blackfield BUA",444091.946274909,102879.435083478,14287,10,"bua",444091.946274909,102879.435083478,"Origin",NA,NA,"Abertillery"
"25","Blandford Forum BUA",388830.962212276,106736.455655704,12419,6,"bua",388615.507261899,106469.102216924,"town",343.363796678592,NA,"Blandford Forum"
"26","Blyth (Northumberland) BUA",430475.061857291,580728.396847925,37339,22,"bua",431869.051531654,581195.669401955,"town",1470.22136155757,NA,"Blyth"
"27","Bodmin BUA",206767.989410847,66696.1572427695,14736,9,"bua",206773.245208745,66980.3073488333,"town",284.198708983021,NA,"Bodmin"
"28","Bognor Regis BUA",493109.859395609,99683.9247745888,64712,41,"bua",493640.07845688,99052.6571242818,"town",824.397415849142,NA,"Bognor Regis"
"29","Bolsover BUA",447230.660103965,370857.221448629,11673,8,"bua",447409.47936995,370414.747492116,"town",477.241586703825,NA,"Bolsover"
"30","Boston BUA",532702.912539303,343905.121840423,39818,22,"bua",532775.476121483,344014.445266045,"town",131.213889693597,NA,"Boston"
