"","lsoa01cd","fua"
"1","E01003001","London"
"2","E01003002","London"
"3","E01003003","London"
"4","E01003004","London"
"5","E01003005","London"
"6","E01003006","London"
"7","E01003007","London"
"8","E01003008","London"
"9","E01003009","London"
"10","E01003010","London"
"11","E01003011","London"
"12","E01003012","London"
"13","E01003013","London"
"14","E01003014","London"
"15","E01003015","London"
"16","E01003016","London"
"17","E01003017","London"
"18","E01003018","London"
"19","E01003019","London"
"20","E01003020","London"
"21","E01003021","London"
"22","E01003022","London"
"23","E01003023","London"
"24","E01003024","London"
"25","E01003025","London"
"26","E01003026","London"
"27","E01003027","London"
"28","E01003028","London"
"29","E01003029","London"
"30","E01003030","London"
"31","E01003031","London"
"32","E01003032","London"
"33","E01003033","London"
"34","E01003034","London"
"35","E01003035","London"
"36","E01003036","London"
"37","E01003037","London"
"38","E01003038","London"
"39","E01003039","London"
"40","E01003040","London"
"41","E01003041","London"
"42","E01003042","London"
"43","E01003043","London"
"44","E01003044","London"
"45","E01003045","London"
"46","E01003046","London"
"47","E01003047","London"
"48","E01003048","London"
"49","E01003049","London"
"50","E01003050","London"
"51","E01003051","London"
"52","E01003052","London"
"53","E01003053","London"
"54","E01003054","London"
"55","E01003055","London"
"56","E01003056","London"
"57","E01003057","London"
"58","E01003058","London"
"59","E01003059","London"
"60","E01003060","London"
"61","E01003061","London"
"62","E01003062","London"
"63","E01003063","London"
"64","E01003064","London"
"65","E01003065","London"
"66","E01003066","London"
"67","E01003067","London"
"68","E01003068","London"
"69","E01003069","London"
"70","E01003070","London"
"71","E01003071","London"
"72","E01003072","London"
"73","E01003073","London"
"74","E01003074","London"
"75","E01003075","London"
"76","E01003076","London"
"77","E01003077","London"
"78","E01003078","London"
"79","E01003079","London"
"80","E01003080","London"
"81","E01003081","London"
"82","E01003082","London"
"83","E01003083","London"
"84","E01003084","London"
"85","E01003085","London"
"86","E01003086","London"
"87","E01003087","London"
"88","E01003088","London"
"89","E01003089","London"
"90","E01003090","London"
"91","E01003091","London"
"92","E01003092","London"
"93","E01003093","London"
"94","E01003094","London"
"95","E01003095","London"
"96","E01003096","London"
"97","E01003097","London"
"98","E01003098","London"
"99","E01003099","London"
"100","E01003100","London"
"101","E01003101","London"
"102","E01003102","London"
"103","E01003103","London"
"104","E01003104","London"
"105","E01003105","London"
"106","E01003106","London"
"107","E01003107","London"
"108","E01003108","London"
"109","E01003109","London"
"110","E01003110","London"
"111","E01003111","London"
"112","E01003112","London"
"113","E01003113","London"
"114","E01003114","London"
"115","E01003115","London"
"116","E01003116","London"
"117","E01003117","London"
"118","E01003118","London"
"119","E01003119","London"
"120","E01003120","London"
"121","E01003121","London"
"122","E01003122","London"
"123","E01003123","London"
"124","E01003124","London"
"125","E01003125","London"
"126","E01003126","London"
"127","E01003127","London"
"128","E01003128","London"
"129","E01003129","London"
"130","E01003130","London"
"131","E01003131","London"
"132","E01003132","London"
"133","E01003133","London"
"134","E01003134","London"
"135","E01003135","London"
"136","E01003136","London"
"137","E01003137","London"
"138","E01003138","London"
"139","E01003139","London"
"140","E01003140","London"
"141","E01003141","London"
"142","E01003142","London"
"143","E01003143","London"
"144","E01003144","London"
"145","E01003145","London"
"146","E01003146","London"
"147","E01003147","London"
"148","E01003148","London"
"149","E01003149","London"
"150","E01003150","London"
"151","E01003151","London"
"152","E01003152","London"
"153","E01003153","London"
"154","E01003154","London"
"155","E01003155","London"
"156","E01003156","London"
"157","E01003157","London"
"158","E01003158","London"
"159","E01003159","London"
"160","E01003160","London"
"161","E01003161","London"
"162","E01003162","London"
"163","E01003163","London"
"164","E01003164","London"
"165","E01003165","London"
"166","E01003166","London"
"167","E01003167","London"
"168","E01003168","London"
"169","E01003169","London"
"170","E01003170","London"
"171","E01003171","London"
"172","E01003172","London"
"173","E01003173","London"
"174","E01003174","London"
"175","E01003175","London"
"176","E01003176","London"
"177","E01003177","London"
"178","E01003178","London"
"179","E01003179","London"
"180","E01003180","London"
"181","E01003181","London"
"182","E01003182","London"
"183","E01003183","London"
"184","E01003184","London"
"185","E01003185","London"
"186","E01003186","London"
"187","E01003187","London"
"188","E01003188","London"
"189","E01003189","London"
"190","E01003190","London"
"191","E01003191","London"
"192","E01003192","London"
"193","E01003193","London"
"194","E01003194","London"
"195","E01003195","London"
"196","E01003196","London"
"197","E01003197","London"
"198","E01003198","London"
"199","E01003199","London"
"200","E01003200","London"
"201","E01003201","London"
"202","E01003202","London"
"203","E01003203","London"
"204","E01003204","London"
"205","E01003205","London"
"206","E01003206","London"
"207","E01003207","London"
"208","E01003208","London"
"209","E01003209","London"
"210","E01003210","London"
"211","E01003211","London"
"212","E01003212","London"
"213","E01003213","London"
"214","E01003214","London"
"215","E01003215","London"
"216","E01003216","London"
"217","E01003217","London"
"218","E01003218","London"
"219","E01003219","London"
"220","E01003220","London"
"221","E01003221","London"
"222","E01003222","London"
"223","E01003223","London"
"224","E01003224","London"
"225","E01003225","London"
"226","E01003226","London"
"227","E01003227","London"
"228","E01003228","London"
"229","E01003229","London"
"230","E01003230","London"
"231","E01003231","London"
"232","E01003232","London"
"233","E01003233","London"
"234","E01003234","London"
"235","E01003235","London"
"236","E01003236","London"
"237","E01003237","London"
"238","E01003238","London"
"239","E01003239","London"
"240","E01003240","London"
"241","E01003241","London"
"242","E01003242","London"
"243","E01003243","London"
"244","E01003244","London"
"245","E01003245","London"
"246","E01003246","London"
"247","E01003247","London"
"248","E01003248","London"
"249","E01003249","London"
"250","E01003250","London"
"251","E01003251","London"
"252","E01003252","London"
"253","E01003253","London"
"254","E01003254","London"
"255","E01003255","London"
"256","E01003256","London"
"257","E01003257","London"
"258","E01003258","London"
"259","E01003259","London"
"260","E01003260","London"
"261","E01003261","London"
"262","E01003262","London"
"263","E01003263","London"
"264","E01003264","London"
"265","E01003265","London"
"266","E01003266","London"
"267","E01003267","London"
"268","E01003268","London"
"269","E01003269","London"
"270","E01003270","London"
"271","E01003271","London"
"272","E01003272","London"
"273","E01003273","London"
"274","E01003274","London"
"275","E01003275","London"
"276","E01003276","London"
"277","E01003277","London"
"278","E01003278","London"
"279","E01003279","London"
"280","E01003280","London"
"281","E01003281","London"
"282","E01003282","London"
