"TTWA11NM","lsoa01","weight"
"Barnsley","E01007317",1
"Barnsley","E01007318",1
"Barnsley","E01007319",1
"Barnsley","E01007320",1
"Barnsley","E01007321",1
"Barnsley","E01007322",1
"Barnsley","E01007323",1
"Barnsley","E01007324",1
"Barnsley","E01007325",1
"Barnsley","E01007326",1
"Barnsley","E01007327",1
"Barnsley","E01007328",1
"Barnsley","E01007329",1
"Barnsley","E01007330",1
"Barnsley","E01007331",1
"Barnsley","E01007332",1
"Barnsley","E01007333",1
"Barnsley","E01007334",1
"Barnsley","E01007335",1
"Barnsley","E01007336",1
"Barnsley","E01007337",1
"Barnsley","E01007338",1
"Barnsley","E01007339",1
"Barnsley","E01007340",1
"Barnsley","E01007341",1
"Barnsley","E01007342",1
"Barnsley","E01007343",1
"Barnsley","E01007344",1
"Barnsley","E01007345",1
"Barnsley","E01007346",1
"Barnsley","E01007347",1
"Barnsley","E01007348",1
"Barnsley","E01007349",1
"Barnsley","E01007350",1
"Barnsley","E01007351",1
"Barnsley","E01007352",1
"Barnsley","E01007353",1
"Barnsley","E01007354",1
"Barnsley","E01007355",1
"Barnsley","E01007356",1
"Barnsley","E01007357",1
"Barnsley","E01007358",1
"Barnsley","E01007359",1
"Barnsley","E01007360",1
"Barnsley","E01007361",1
"Barnsley","E01007362",1
"Barnsley","E01007363",1
"Barnsley","E01007364",1
"Barnsley","E01007365",1
"Barnsley","E01007366",1
"Barnsley","E01007367",1
"Barnsley","E01007368",1
"Barnsley","E01007369",1
"Barnsley","E01007370",1
"Barnsley","E01007371",1
"Barnsley","E01007372",1
"Barnsley","E01007373",1
"Barnsley","E01007374",1
"Barnsley","E01007375",1
"Barnsley","E01007376",1
"Barnsley","E01007377",1
"Barnsley","E01007378",1
"Barnsley","E01007379",1
"Barnsley","E01007380",1
"Barnsley","E01007381",1
"Barnsley","E01007382",1
"Barnsley","E01007383",1
"Barnsley","E01007384",1
"Barnsley","E01007385",1
"Barnsley","E01007386",1
"Barnsley","E01007387",1
"Barnsley","E01007388",1
"Barnsley","E01007389",1
"Barnsley","E01007390",1
"Barnsley","E01007391",1
"Barnsley","E01007392",1
"Barnsley","E01007393",1
"Barnsley","E01007394",1
"Barnsley","E01007395",1
"Barnsley","E01007396",1
"Barnsley","E01007397",1
"Barnsley","E01007398",1
"Barnsley","E01007399",1
"Barnsley","E01007400",1
"Barnsley","E01007401",1
"Barnsley","E01007402",1
"Barnsley","E01007403",1
"Barnsley","E01007404",1
"Barnsley","E01007405",1
"Barnsley","E01007406",1
"Barnsley","E01007407",1
"Barnsley","E01007408",1
"Barnsley","E01007409",1
"Barnsley","E01007410",1
"Barnsley","E01007411",1
"Barnsley","E01007412",1
"Barnsley","E01007413",1
"Barnsley","E01007414",1
"Barnsley","E01007415",1
"Barnsley","E01007416",1
"Barnsley","E01007417",1
"Barnsley","E01007418",1
"Barnsley","E01007419",1
"Barnsley","E01007420",1
"Barnsley","E01007421",1
"Barnsley","E01007422",1
"Barnsley","E01007423",1
"Barnsley","E01007424",1
"Barnsley","E01007425",1
"Barnsley","E01007426",1
"Barnsley","E01007427",1
"Barnsley","E01007428",1
"Barnsley","E01007429",1
"Barnsley","E01007430",1
"Barnsley","E01007431",1
"Barnsley","E01007432",1
"Barnsley","E01007433",1
"Barnsley","E01007434",1
"Barnsley","E01007435",1
"Barnsley","E01007436",1
"Barnsley","E01007437",1
"Barnsley","E01007438",1
"Barnsley","E01007439",1
"Barnsley","E01007440",1
"Barnsley","E01007441",1
"Barnsley","E01007442",1
"Barnsley","E01007443",1
"Barnsley","E01007444",1
"Barnsley","E01007445",1
"Barnsley","E01007446",1
"Barnsley","E01007447",1
"Barnsley","E01007448",1
"Barnsley","E01007449",1
"Barnsley","E01007450",1
"Barnsley","E01007451",1
"Barnsley","E01007452",1
"Barnsley","E01007453",1
"Barnsley","E01007454",1
"Barnsley","E01007455",1
"Barnsley","E01007456",1
"Barnsley","E01007457",1
"Barnsley","E01007458",1
"Barnsley","E01007459",1
"Barnsley","E01007460",1
"Barnsley","E01007461",1
"Barnsley","E01007462",1
"Barnsley","E01007463",1
"Barnsley","E01007693",1
"Barnsley","E01007694",1
"Barnsley","E01007695",1
"Barnsley","E01007697",1
"Barnsley","E01007698",1
"Barnsley","E01007816",1
"Barnsley","E01007817",1
"Barnsley","E01007819",1
"Barnsley","E01007820",1
"Barnsley","E01007821",1
"Barnsley","E01007822",1
"Bradford","E01010568",1
"Bradford","E01010569",1
"Bradford","E01010570",1
"Bradford","E01010571",1
"Bradford","E01010572",1
"Bradford","E01010573",1
"Bradford","E01010574",1
"Bradford","E01010575",1
"Bradford","E01010576",1
"Bradford","E01010577",1
"Bradford","E01010578",1
"Bradford","E01010579",1
"Bradford","E01010580",1
"Bradford","E01010581",1
"Bradford","E01010582",1
"Bradford","E01010583",1
"Bradford","E01010584",1
"Bradford","E01010585",1
"Bradford","E01010586",1
"Bradford","E01010587",1
"Bradford","E01010588",1
"Bradford","E01010589",1
"Bradford","E01010590",1
"Bradford","E01010591",1
"Bradford","E01010592",1
"Bradford","E01010593",1
"Bradford","E01010594",1
"Bradford","E01010595",1
"Bradford","E01010596",1
"Bradford","E01010597",1
"Bradford","E01010598",1
"Bradford","E01010599",1
"Bradford","E01010600",1
"Bradford","E01010601",1
"Bradford","E01010602",1
"Bradford","E01010603",1
"Bradford","E01010604",1
"Bradford","E01010605",1
"Bradford","E01010606",1
"Bradford","E01010607",1
"Bradford","E01010608",1
"Bradford","E01010609",1
"Bradford","E01010610",1
"Bradford","E01010611",1
"Bradford","E01010612",1
"Bradford","E01010613",1
"Bradford","E01010614",1
"Bradford","E01010615",1
"Bradford","E01010616",1
"Bradford","E01010617",1
"Bradford","E01010618",1
"Bradford","E01010619",1
"Bradford","E01010620",1
"Bradford","E01010621",1
"Bradford","E01010622",1
"Bradford","E01010623",1
"Bradford","E01010624",1
"Bradford","E01010625",1
"Bradford","E01010626",1
"Bradford","E01010627",1
"Bradford","E01010628",1
"Bradford","E01010629",1
"Bradford","E01010630",1
"Bradford","E01010631",1
"Bradford","E01010632",1
"Bradford","E01010633",1
"Bradford","E01010634",1
"Bradford","E01010635",1
"Bradford","E01010636",1
"Bradford","E01010637",1
"Bradford","E01010638",1
"Bradford","E01010639",1
"Bradford","E01010640",1
"Bradford","E01010641",1
"Bradford","E01010642",1
"Bradford","E01010643",1
"Bradford","E01010644",1
"Bradford","E01010645",1
"Bradford","E01010649",1
"Bradford","E01010650",1
"Bradford","E01010651",1
"Bradford","E01010652",1
"Bradford","E01010653",1
"Bradford","E01010654",1
"Bradford","E01010655",1
"Bradford","E01010656",1
"Bradford","E01010657",1
"Bradford","E01010658",1
"Bradford","E01010659",1
"Bradford","E01010660",1
"Bradford","E01010661",1
"Bradford","E01010662",1
"Bradford","E01010663",1
"Bradford","E01010664",1
"Bradford","E01010665",1
"Bradford","E01010666",1
"Bradford","E01010667",1
"Bradford","E01010668",1
"Bradford","E01010669",1
